procesos,ejecucion,tiempo
1,1,36.46
1,2,34.70
1,3,35.09
1,4,34.76
1,5,37.13
1,6,35.98
1,7,34.82
1,8,40.09
1,9,35.21
1,10,36.49
2,1,23.08
2,2,21.47
2,3,20.97
2,4,21.07
2,5,21.87
2,6,21.08
2,7,21.75
2,8,20.96
2,9,20.37
2,10,22.00
3,1,16.61
3,2,15.03
3,3,15.32
3,4,17.55
3,5,15.78
3,6,15.30
3,7,15.33
3,8,16.31
3,9,15.88
3,10,15.46
4,1,14.13
4,2,13.39
4,3,12.62
4,4,12.72
4,5,12.39
4,6,13.13
4,7,12.66
4,8,12.36
4,9,12.58
4,10,12.63
