procesos,ejecucion,tiempo
1,1,46.86
1,2,46.58
1,3,46.46
1,4,44.82
1,5,45.93
1,6,46.35
1,7,47.64
1,8,45.24
1,9,46.35
1,10,48.29
2,1,24.26
2,2,24.91
2,3,24.01
2,4,25.57
2,5,23.79
2,6,24.13
2,7,24.51
2,8,23.99
2,9,26.50
2,10,24.20
3,1,17.39
3,2,18.58
3,3,16.92
3,4,17.95
3,5,19.84
3,6,16.83
3,7,16.94
3,8,17.69
3,9,19.84
3,10,17.05
4,1,14.05
4,2,16.31
4,3,13.98
4,4,13.74
4,5,13.46
4,6,14.90
4,7,15.09
4,8,14.00
4,9,13.59
4,10,13.29
